Champions	Degree	Num.Wins	Num.Losses	Win.Pct
Virginia	0	35	3	0.921
Duke	1	32	6	0.842
Florida St	1	29	8	0.784
Gonzaga	2	33	4	0.892
Villanova	2	26	10	0.722
Syracuse	2	20	14	0.588
Pittsburgh	2	14	19	0.424
Boston College	2	14	17	0.452
North Carolina	2	29	7	0.806
Virginia Tech	2	26	9	0.743
Michigan St	2	32	7	0.821
Kansas	3	26	10	0.722
IUPUI	3	16	17	0.485
Michigan	3	30	7	0.811
Connecticut	3	16	17	0.485
Oregon	3	25	13	0.658
Furman	3	25	8	0.758
Texas	3	21	16	0.568
Iowa	3	23	12	0.657
Louisville	3	20	14	0.588
Penn St	3	14	18	0.438
Niagara	3	13	19	0.406
Providence	3	18	16	0.529
West Virginia	3	15	21	0.417
Tennessee	3	31	6	0.838
Penn	3	19	12	0.613
Old Dominion	3	26	9	0.743
Buffalo	3	32	4	0.889
Kentucky	3	30	7	0.811
Hartford	3	18	15	0.545
Notre Dame	3	14	19	0.424
NC State	3	24	12	0.667
Georgia Tech	3	14	18	0.438
Purdue	3	26	10	0.722
Clemson	3	20	14	0.588
Indiana	3	19	16	0.543
Wake Forest	3	11	20	0.355
Illinois	3	12	21	0.364
Marquette	3	24	10	0.706
St John's	3	21	13	0.618
Georgetown	3	19	14	0.576
Xavier	3	19	16	0.543
Miami FL	3	14	18	0.438
Seton Hall	3	20	14	0.588
St Mary's CA	3	22	12	0.647
Baylor	3	20	14	0.588
Auburn	3	30	10	0.75
Texas Tech	3	31	7	0.816
Central Conn	4	11	20	0.355
TX Southern	4	24	14	0.632
Utah St	4	28	7	0.8
Wichita St	4	22	15	0.595
St Joseph's PA	4	14	19	0.424
Mississippi St	4	23	11	0.676
Wisconsin	4	23	11	0.676
Loyola-Chicago	4	20	14	0.588
Radford	4	22	11	0.667
Nebraska	4	19	17	0.528
DePaul	4	19	17	0.528
Richmond	4	13	20	0.394
Oregon St	4	18	13	0.581
Loy Marymount	4	22	12	0.647
WKU	4	20	14	0.588
St Louis	4	23	13	0.639
Arkansas	4	18	16	0.529
Kansas St	4	25	9	0.735
Utah Valley	4	25	10	0.714
Northern Iowa	4	16	18	0.471
San Diego St	4	21	13	0.618
Iowa St	4	23	12	0.657
Creighton	4	20	15	0.571
Bradley	4	20	15	0.571
Iona	4	17	16	0.515
Houston Bap	4	12	18	0.4
Mississippi	4	20	13	0.606
Grambling	4	17	17	0.5
Harvard	4	19	12	0.613
St Francis NY	4	17	16	0.515
Sacred Heart	4	15	17	0.469
Rutgers	4	14	17	0.452
UC Irvine	4	31	6	0.838
Northwestern	4	13	19	0.406
St Francis PA	4	18	15	0.545
Ball St	4	16	17	0.485
Yale	4	22	8	0.733
Houston	4	33	4	0.892
Maryland	4	23	11	0.676
Arizona	4	17	15	0.531
Oklahoma	4	20	14	0.588
Florida	4	20	16	0.556
VA Commonwealth	4	25	8	0.758
Ohio St	4	20	15	0.571
Massachusetts	4	11	21	0.344
UCLA	4	17	16	0.515
Cincinnati	4	28	7	0.8
SMU	4	15	17	0.469
LSU	4	28	7	0.8
Rhode Island	4	18	15	0.545
Gardner Webb	4	23	12	0.657
Missouri	4	15	17	0.469
PFW	4	18	15	0.545
SF Austin	4	14	16	0.467
Cleveland St	4	10	21	0.323
Morehead St	4	13	20	0.394
Alabama	4	18	16	0.529
Arizona St	4	23	11	0.676
Wagner	4	13	17	0.433
Georgia	4	11	21	0.344
N Kentucky	4	26	9	0.743
FL Atlantic	4	17	16	0.515
Toledo	4	25	8	0.758
ETSU	4	24	10	0.706
Wright St	4	21	14	0.6
Monmouth NJ	4	14	21	0.4
Albany NY	4	12	20	0.375
South Florida	4	24	14	0.632
San Francisco	4	21	10	0.677
Marshall	4	23	14	0.622
Manhattan	4	11	21	0.344
Princeton	4	16	12	0.571
TCU	4	23	14	0.622
UCF	4	24	9	0.727
Fairfield	4	9	22	0.29
Oklahoma St	4	12	20	0.375
Vermont	4	27	7	0.794
Youngstown St	4	12	20	0.375
UNC Greensboro	4	29	7	0.806
Rider	4	16	15	0.516
Tulsa	4	18	14	0.562
Siena	4	17	16	0.515
Wofford	4	30	5	0.857
MA Lowell	4	15	17	0.469
WI Milwaukee	4	9	22	0.29
Butler	4	16	17	0.485
Minnesota	4	22	14	0.611
N Illinois	4	17	17	0.5
St Peter's	4	10	22	0.312
South Carolina	4	16	16	0.5
Washington	4	27	9	0.75
BYU	4	19	13	0.594
Samford	4	17	16	0.515
UT San Antonio	4	17	15	0.531
Pepperdine	4	16	18	0.471
Bowling Green	4	22	12	0.647
Cornell	4	15	16	0.484
Stony Brook	4	24	9	0.727
Colorado	4	23	13	0.639
Quinnipiac	4	16	15	0.516
Temple	4	23	10	0.697
Marist	4	12	19	0.387
IL Chicago	4	16	16	0.5
Memphis	4	22	14	0.611
USC	4	16	17	0.485
Columbia	4	10	18	0.357
Detroit	4	11	20	0.355
Oakland	4	16	17	0.485
Southern Miss	4	19	13	0.594
UAB	4	20	15	0.571
UMBC	4	21	13	0.618
Murray St	4	28	5	0.848
Coastal Car	4	17	17	0.5
Lipscomb	4	29	8	0.784
Davidson	5	24	10	0.706
