Champions	Degree	Num.Wins	Num.Losses	Win.Pct
Baylor	0	37	1	0.974
Stanford	1	31	5	0.861
Gonzaga	2	29	5	0.853
Utah	2	20	10	0.667
California	2	20	13	0.606
Oregon	2	33	5	0.868
Notre Dame	2	35	4	0.897
Connecticut	3	35	3	0.921
Michigan St	3	21	12	0.636
Harvard	3	17	13	0.567
Arizona St	3	22	11	0.667
UCLA	3	22	13	0.629
Arizona	3	24	13	0.649
BYU	3	26	7	0.788
North Carolina	3	18	15	0.545
Oregon St	3	26	8	0.765
Miami FL	3	25	9	0.735
USC	3	17	13	0.567
Washington	3	11	21	0.344
Loy Marymount	4	18	15	0.545
Purdue	4	19	15	0.559
Colorado	4	12	18	0.4
Tulane	4	15	15	0.5
Iowa St	4	26	9	0.743
Hartford	4	23	11	0.676
NC State	4	28	6	0.824
Louisville	4	32	4	0.889
Kentucky	4	25	8	0.758
South Florida	4	19	16	0.543
Fordham	4	25	9	0.735
Michigan	4	22	12	0.647
Southern Utah	4	8	23	0.258
Ohio St	4	14	15	0.483
Quinnipiac	4	26	7	0.788
Maine	4	25	8	0.758
Indiana	4	21	13	0.618
Rutgers	4	22	10	0.688
Texas A&M	4	26	8	0.765
Boise St	4	28	5	0.848
Mississippi St	4	33	3	0.917
Auburn	4	22	10	0.688
C Michigan	4	25	8	0.758
Washington St	4	9	21	0.3
Northwestern	4	21	15	0.583
Florida St	4	24	9	0.727
Clemson	4	20	13	0.606
Syracuse	4	25	9	0.735
Yale	4	16	13	0.552
Pepperdine	4	22	12	0.647
Iowa	4	29	7	0.806
Duke	4	15	15	0.5
St Mary's CA	4	21	12	0.636
Columbia	4	8	19	0.296
Wisconsin	4	15	18	0.455
Pittsburgh	4	11	20	0.355
Princeton	4	22	10	0.688
Nebraska	4	14	16	0.467
Virginia Tech	4	22	12	0.647
Penn	4	24	7	0.774
Minnesota	4	21	11	0.656
Maryland	4	29	5	0.853
Georgetown	4	19	16	0.543
Utah St	5	17	16	0.515
Villanova	5	19	13	0.594
Drake	5	27	7	0.794
UCF	5	26	7	0.788
N Illinois	5	19	13	0.594
Bucknell	5	28	6	0.824
Northeastern	5	20	12	0.625
G Washington	5	10	20	0.333
S Dakota St	5	28	7	0.8
Youngstown St	5	22	10	0.688
Seton Hall	5	15	16	0.484
Penn St	5	12	18	0.4
UC Riverside	5	17	16	0.515
South Carolina	5	23	10	0.697
WI Milwaukee	5	15	15	0.5
James Madison	5	29	6	0.829
SF Austin	5	24	7	0.774
Illinois	5	10	20	0.333
UC Davis	5	25	7	0.781
LSU	5	16	13	0.552
New Mexico	5	24	7	0.774
Alabama	5	14	17	0.452
WI Green Bay	5	22	10	0.688
UC Irvine	5	19	11	0.633
Cincinnati	5	24	11	0.686
Houston	5	15	16	0.484
DePaul	5	26	8	0.765
Tennessee	5	19	13	0.594
St John's	5	15	16	0.484
Buffalo	5	24	10	0.706
CS Northridge	5	16	15	0.516
S Illinois	5	15	15	0.5
Texas	5	23	10	0.697
Northern Arizona	5	13	18	0.419
Kansas St	5	21	12	0.636
Missouri	5	24	11	0.686
Colgate	5	12	17	0.414
Arkansas	5	22	15	0.595
South Dakota	5	27	6	0.818
Providence	5	19	16	0.543
St Joseph's PA	5	12	19	0.387
Lamar	5	24	7	0.774
Oral Roberts	5	18	13	0.581
Denver	5	18	14	0.562
Boston College	5	14	16	0.467
VA Commonwealth	5	24	10	0.706
Marquette	5	27	8	0.771
Creighton	5	15	16	0.484
CS Fullerton	5	13	16	0.448
Ohio	5	30	6	0.833
West Virginia	5	22	11	0.667
Idaho St	5	19	11	0.633
Davidson	5	17	15	0.531
Kansas	5	13	18	0.419
Grambling	5	16	16	0.5
La Salle	5	6	25	0.194
Butler	5	23	10	0.697
Virginia	5	12	19	0.387
Old Dominion	5	21	11	0.656
Albany NY	5	13	18	0.419
Montana St	5	16	15	0.516
Chattanooga	5	14	17	0.452
Montana	5	14	16	0.467
Pacific	5	19	13	0.594
Georgia Tech	5	17	13	0.567
Santa Clara	5	14	17	0.452
Mississippi	5	9	22	0.29
Miami OH	5	23	9	0.719
Portland St	5	25	8	0.758
Brown	5	9	21	0.3
Cornell	5	12	14	0.462
CS Sacramento	5	9	19	0.321
Dayton	5	17	14	0.548
Toledo	5	21	12	0.636
Memphis	5	11	20	0.355
N Colorado	5	21	11	0.656
Wyoming	5	25	9	0.735
SMU	5	11	19	0.367
Wichita St	5	12	18	0.4
Binghamton	5	12	18	0.4
Idaho	5	22	12	0.647
East Carolina	5	16	15	0.516
Weber St	5	6	25	0.194
Dartmouth	5	13	14	0.481
Tulsa	5	13	18	0.419
TCU	5	24	11	0.686
E Washington	5	13	20	0.394
Portland	5	13	17	0.433
Morehead St	5	24	11	0.686
Missouri St	5	25	10	0.714
Howard	6	18	13	0.581
Bryant	6	11	19	0.367
American Univ	6	22	11	0.667
IUPUI	6	20	12	0.625
TN Martin	6	23	9	0.719
Temple	6	11	19	0.367
Robert Morris	6	22	11	0.667
Oklahoma St	6	14	16	0.467
Lafayette	6	8	23	0.258
Southern Miss	6	18	14	0.562
Drexel	6	24	9	0.727
Belmont	6	26	7	0.788
Boston Univ	6	15	14	0.517
Arkansas St	6	12	18	0.4
Gardner Webb	6	16	15	0.516
Louisiana Tech	6	14	16	0.467
San Diego St	6	14	18	0.438
UAB	6	26	7	0.788
Appalachian St	6	22	14	0.611
Towson	6	20	13	0.606
George Mason	6	16	14	0.533
Iona	6	5	26	0.161
St Francis NY	6	18	13	0.581
Fresno St	6	19	13	0.594
Hampton	6	16	14	0.533
Kent	6	20	13	0.606
SE Louisiana	6	9	20	0.31
WKU	6	20	15	0.571
UT Arlington	6	24	8	0.75
Northern Iowa	6	20	13	0.606
Lehigh	6	21	10	0.677
UNC Asheville	6	17	15	0.531
Monmouth NJ	6	14	17	0.452
